Date,Open,High,Low,Close,Volume
03-01-2017,239.6010491,241.9577748,236.7533377,240.4848175,15963085
04-01-2017,241.3686004,241.9577743,237.833497,238.520874,11225978
05-01-2017,240.583016,241.4667844,239.3064501,240.926712,11970913
06-01-2017,241.5649848,244.5108992,241.073999,241.4667816,12354302
09-01-2017,241.9577636,243.87262,241.564981,242.5960541,8329253
10-01-2017,243.234328,244.5108939,241.9577621,243.8235168,9352013
11-01-2017,245.1491668,248.6351685,244.5108914,247.6040955,13415303
12-01-2017,248.3405839,249.8626427,246.0329599,246.7203369,11282323
13-01-2017,247.4568226,248.0460115,244.6091112,246.3766479,9333736
16-01-2017,246.523943,251.7774814,246.180247,251.1392059,13234727
17-01-2017,252.8085753,253.9869231,249.8135442,251.3847046,9480201
18-01-2017,252.4648727,254.625192,251.973887,253.692337,8048897
19-01-2017,252.5630768,257.2765279,251.8756847,253.7414246,13029151
20-01-2017,253.8396255,255.8035685,245.7874624,246.523941,15341756
23-01-2017,246.4748349,250.599112,245.5910665,249.5680389,9339939
24-01-2017,250.5009259,252.3666657,249.4207513,250.3045197,13540202
25-01-2017,250.9428033,256.2945447,249.6171359,254.5270081,16343545
27-01-2017,255.607153,263.3647513,254.8215878,261.6463013,18039379
30-01-2017,261.0571155,263.070145,258.6512735,259.1913757,11884795
31-01-2017,256.441861,259.0931962,254.9689037,255.6562958,8899165
01-02-2017,257.2765379,266.99805,256.8837553,265.8197021,27253142
02-02-2017,266.948962,270.0421663,263.8557577,268.3728027,20139955
03-02-2017,268.0782148,273.5281446,267.0962434,272.5461731,15366890
06-02-2017,274.9520035,277.4069321,271.0241178,272.0551758,14725291
07-02-2017,272.8407755,274.9520081,271.3187017,272.8898621,10981984
08-02-2017,273.086283,274.2155443,267.6854397,272.2025146,13622088
09-02-2017,273.7736289,275.246586,265.9669738,270.8768311,16080181
10-02-2017,273.724554,277.7015265,270.0421609,271.3678284,37580487
13-02-2017,272.7916513,273.2335504,265.3286924,266.752533,19853043
14-02-2017,267.0962415,268.078213,263.2665587,265.3287048,13306738
15-02-2017,266.0652004,267.5872443,262.2354874,264.1012573,12201568
16-02-2017,272.0061058,272.0061058,264.7886092,265.623291,21794688
17-02-2017,266.2615552,268.7164838,262.8737716,264.4940186,17830528
20-02-2017,265.0340976,266.6543446,263.1683578,264.7886047,9229363
21-02-2017,265.1323101,266.6052674,263.8066426,265.8197021,7754157
22-02-2017,266.9980255,269.7475635,264.6413001,267.3908081,12617613
23-02-2017,266.8016525,268.0782034,264.7395065,265.5741882,13146194
27-02-2017,265.9178642,266.5561696,262.7755734,263.4138489,9645350
28-02-2017,264.0521313,266.3597703,263.1683629,264.3467407,7941592
01-03-2017,265.1322885,268.3727823,264.9358822,266.8507385,7656892
02-03-2017,268.0782063,269.7475697,261.6953919,262.480957,14220808
03-03-2017,261.4499232,264.0521418,259.4859802,260.2715454,10120034
06-03-2017,261.7936085,265.4760016,261.5481156,264.9850159,9515073
07-03-2017,265.9178688,266.016072,261.5972002,262.9719543,11599142
08-03-2017,262.9719421,265.4268707,261.2044055,265.0340881,9122987
09-03-2017,264.1503513,268.962006,263.5611624,268.3237305,15594429
10-03-2017,269.5511668,270.5822248,264.6413095,267.1453247,9557026
14-03-2017,273.3808488,273.3808488,268.8637741,269.6984558,15734886
15-03-2017,267.7345446,275.4430275,267.7345446,272.349823,20055974
16-03-2017,272.988067,275.1484162,271.0732107,274.2646179,18005184
17-03-2017,274.4119561,274.4610427,268.5692135,269.207489,14265642
20-03-2017,269.7966568,269.7966568,266.8998291,268.9619751,9678185
21-03-2017,269.452971,272.0551894,265.2795921,267.4399414,11898233
22-03-2017,265.4268763,266.1142683,261.9899761,262.6773682,9887203
23-03-2017,264.150318,264.5431006,261.8917957,263.6593323,7998170
24-03-2017,264.641306,273.9209482,263.8066243,271.5151062,20133467
27-03-2017,271.0241129,275.7375637,270.2385477,274.4119263,15966114
28-03-2017,275.5902895,277.7997254,273.4790568,277.0141602,18673371
29-03-2017,278.0451979,284.6735049,278.0451979,283.2496643,31008407
30-03-2017,283.7897658,288.4541305,283.6424761,285.8027954,19683170
31-03-2017,286.7356586,289.6815729,283.2987586,288.1104126,20185269
03-04-2017,289.4851761,290.3689744,286.9320743,287.8649292,10509610
05-04-2017,288.0122248,293.3639814,284.4280349,291.9892273,21936647
06-04-2017,290.1234748,292.1855908,286.195589,287.570343,18413111
07-04-2017,286.441064,289.4851513,282.464062,284.2316284,10765502
10-04-2017,284.5753226,285.1154248,281.3839152,284.1334534,10307875
11-04-2017,284.0843489,289.8288883,283.5933631,289.1906128,11682024
12-04-2017,288.6996333,290.123504,283.8879787,284.9190369,13251421
13-04-2017,285.0172113,287.8158359,284.7717185,286.2937622,9944020
17-04-2017,285.8519313,287.4721784,283.2987993,284.6735535,8146800
18-04-2017,285.8027933,291.5473326,283.2005748,285.0663147,13457050
19-04-2017,286.2937717,286.4901779,277.7997244,278.9289856,18149995
20-04-2017,278.781698,281.7276124,277.1123644,279.6654663,14514929
21-04-2017,281.8258169,281.8258169,274.2155378,277.1123657,12042308
24-04-2017,278.143436,282.6605111,275.8357969,280.8929443,10077853
25-04-2017,282.316815,283.593366,279.8618862,280.8929443,11531902
26-04-2017,281.9240115,284.280737,278.2416186,281.2857361,13836891
27-04-2017,281.2857561,282.7587134,275.9830858,276.9650574,22622372
28-04-2017,277.8979076,285.508186,277.4069219,284.5262146,14152004
